product_name,baseProduct,product_price_currency,product_price_formatted,product_price_type,product_price_value,badges,categories,category_codes,option_code,option_productName,option_sellable,option_stock_status,option_price_value,color_name,color_value,size
"Hotty Hot High-Rise Lined Short 4""",PROD9250073_LULU,SAR,SAR 335.00,BUY,335.0,,"The Winter Edit, Seasonal, Root Lululemon, Winter Edit, Summer Shop, The Spring Edit, Womens, Sports Clothing for Women, Women's Shorts, Running Clothes for Women, Under SAR 200","winter-gifts, edits, root-0, winter-treats, summer-shop, the-spring-edit, women, womens-activity, womens-shorts, women-activity-running, under-200",FUA0083980D,"Hotty Hot High-Rise Lined Short 4""",True,lowStock,230.0,RIPENED RASPBERRY,color-ripened-raspberry,4
Swiftly Tech Racerback Tank Top 2.0 *Race Length,PROD9750460_LULU,SAR,SAR 285.00,BUY,285.0,,"Root Lululemon, Seasonal, The Winter Drop, Womens, Women's Tops, Training Clothes for Women, Sports Clothing for Women, Running Clothes for Women, Under SAR 200, Women's Tank Tops","root-0, edits, the-winter-drop, women, womens-tops, women-activity-training, womens-activity, women-activity-running, under-200, womens-tank-tops",UPV1045228,Swiftly Tech Racerback Tank Top 2.0 *Race Length,True,inStock,285.0,SLATE/WHITE,color-slate-white,10
Swiftly Tech Racerback Tank Top 2.0 *Race Length,PROD9750460_LULU,SAR,SAR 285.00,BUY,285.0,,"Root Lululemon, Seasonal, The Winter Drop, Womens, Women's Tops, Training Clothes for Women, Sports Clothing for Women, Running Clothes for Women, Under SAR 200, Women's Tank Tops","root-0, edits, the-winter-drop, women, womens-tops, women-activity-training, womens-activity, women-activity-running, under-200, womens-tank-tops",UPV0997846,Swiftly Tech Racerback Tank Top 2.0 *Race Length,True,inStock,285.0,WHITE/WHITE,color-white-white,12
Swiftly Tech Racerback Tank Top 2.0 *Race Length,PROD9750460_LULU,SAR,SAR 285.00,BUY,285.0,,"Root Lululemon, Seasonal, The Winter Drop, Womens, Women's Tops, Training Clothes for Women, Sports Clothing for Women, Running Clothes for Women, Under SAR 200, Women's Tank Tops","root-0, edits, the-winter-drop, women, womens-tops, women-activity-training, womens-activity, women-activity-running, under-200, womens-tank-tops",FUA0061342D,Swiftly Tech Racerback Tank Top 2.0 *Waist Length,True,inStock,170.0,STORM TEAL/STORM TEAL,color-storm-teal-storm-teal,8
Swiftly Tech Racerback Tank Top 2.0 *Race Length,PROD9750460_LULU,SAR,SAR 285.00,BUY,285.0,,"Root Lululemon, Seasonal, The Winter Drop, Womens, Women's Tops, Training Clothes for Women, Sports Clothing for Women, Running Clothes for Women, Under SAR 200, Women's Tank Tops","root-0, edits, the-winter-drop, women, womens-tops, women-activity-training, womens-activity, women-activity-running, under-200, womens-tank-tops",FUA0064188D,Swiftly Tech Racerback Tank Top 2.0 *Waist Length,True,lowStock,195.0,RAINFOREST GREEN/RAINFOREST GREEN,color-rainforest-green-rainforest-green,4
Swiftly Tech Racerback Tank Top 2.0 *Race Length,PROD9750460_LULU,SAR,SAR 285.00,BUY,285.0,,"Root Lululemon, Seasonal, The Winter Drop, Womens, Women's Tops, Training Clothes for Women, Sports Clothing for Women, Running Clothes for Women, Under SAR 200, Women's Tank Tops","root-0, edits, the-winter-drop, women, womens-tops, women-activity-training, womens-activity, women-activity-running, under-200, womens-tank-tops",FUA0111290D,Swiftly Tech Racerback Tank Top 2.0 *Waist Length,True,lowStock,285.0,SERENE BLUE/SERENE BLUE,color-serene-blue-serene-blue,10
Swiftly Tech Racerback Tank Top 2.0 *Race Length,PROD9750460_LULU,SAR,SAR 285.00,BUY,285.0,,"Root Lululemon, Seasonal, The Winter Drop, Womens, Women's Tops, Training Clothes for Women, Sports Clothing for Women, Running Clothes for Women, Under SAR 200, Women's Tank Tops","root-0, edits, the-winter-drop, women, womens-tops, women-activity-training, womens-activity, women-activity-running, under-200, womens-tank-tops",FUA0111300D,Swiftly Tech Racerback Tank Top 2.0 *Waist Length,True,lowStock,285.0,BAY LEAF/BAY LEAF,color-bay-leaf-bay-leaf,2
"Like a Cloud Longline Bra *Light Support, B/C Cup",PROD10190199_LULU,SAR,SAR 335.00,BUY,335.0,,"The Winter Edit, Seasonal, Root Lululemon, Sports Bras, Yoga Clothes for Women, Winter Edit, Summer Shop, Womens, The Winter Drop, Sports Clothing for Women, Travel Edit","winter-gifts, edits, root-0, womens-sports-bras, women-activity-yoga, winter-treats, summer-shop, women, the-winter-drop, womens-activity, travel-edit",UPV0852966,"Like a Cloud Longline Bra *Light Support, B/C Cup",True,lowStock,335.0,BLACK,Color-Black,4
"Like a Cloud Longline Bra *Light Support, B/C Cup",PROD10190199_LULU,SAR,SAR 335.00,BUY,335.0,,"The Winter Edit, Seasonal, Root Lululemon, Sports Bras, Yoga Clothes for Women, Winter Edit, Summer Shop, Womens, The Winter Drop, Sports Clothing for Women, Travel Edit","winter-gifts, edits, root-0, womens-sports-bras, women-activity-yoga, winter-treats, summer-shop, women, the-winter-drop, womens-activity, travel-edit",UPV0983668,"Like a Cloud Longline Bra *Light Support, B/C Cup",True,lowStock,335.0,WHITE,Color-White,14
"Like a Cloud Longline Bra *Light Support, B/C Cup",PROD10190199_LULU,SAR,SAR 335.00,BUY,335.0,,"The Winter Edit, Seasonal, Root Lululemon, Sports Bras, Yoga Clothes for Women, Winter Edit, Summer Shop, Womens, The Winter Drop, Sports Clothing for Women, Travel Edit","winter-gifts, edits, root-0, womens-sports-bras, women-activity-yoga, winter-treats, summer-shop, women, the-winter-drop, womens-activity, travel-edit",FUA0108020D,"Like a Cloud Longline Bra *Light Support, B/C Cup",True,lowStock,335.0,PALM DECO,color-palm-deco,10
