product_name,baseProduct,product_price_currency,product_price_formatted,product_price_type,product_price_value,badges,categories,category_codes,option_code,option_productName,option_sellable,option_stock_status,option_price_value,color_name,color_value,size
Sanctum Logo Print Oversized T-Shirt,M068PB_ALLS,AED,AED 355.00,BUY,355.0,BESTSELLER,"Bestseller, T-Shirts, Men, Clothing, Men's Graphic T-Shirts","men-bestseller, men-t-shirts, men, men-clothing, men-t-shirts-graphic-t-shirts",FUA0070849D,Sanctum Logo Print Oversized T-Shirt,True,lowStock,355.0,,ASHEN WHITE,S
Sanctum Logo Print Oversized T-Shirt,M068PB_ALLS,AED,AED 355.00,BUY,355.0,BESTSELLER,"Bestseller, T-Shirts, Men, Clothing, Men's Graphic T-Shirts","men-bestseller, men-t-shirts, men, men-clothing, men-t-shirts-graphic-t-shirts",FUA0070852D,Sanctum Logo Print Oversized T-Shirt,True,lowStock,355.0,,ASHEN WHITE,XS
Sanctum Logo Print Oversized T-Shirt,M068PB_ALLS,AED,AED 355.00,BUY,355.0,BESTSELLER,"Bestseller, T-Shirts, Men, Clothing, Men's Graphic T-Shirts","men-bestseller, men-t-shirts, men, men-clothing, men-t-shirts-graphic-t-shirts",FUA0070853D,Sanctum Logo Print Oversized T-Shirt,True,inStock,355.0,,ASHEN WHITE,L
Sanctum Logo Print Oversized T-Shirt,M068PB_ALLS,AED,AED 355.00,BUY,355.0,BESTSELLER,"Bestseller, T-Shirts, Men, Clothing, Men's Graphic T-Shirts","men-bestseller, men-t-shirts, men, men-clothing, men-t-shirts-graphic-t-shirts",FUA0070844D,Sanctum Logo Print Oversized T-Shirt,True,inStock,245.0,,JET BLACK,S
Survey Double Layered Leather Blazer,M061LB_ALLS,AED,"AED 2,350.00",BUY,2350.0,BESTSELLER,"Bestseller, Coats & Jackets, Blazers, Men, Clothing","men-bestseller, men-coats-and-jackets, men-coats-and-jackets-blazers, men, men-clothing",FUA0093055D,Survey Double Layered Leather Blazer,True,inStock,2350.0,,ANTHRACITE GREY,L
Survey Double Layered Leather Blazer,M061LB_ALLS,AED,"AED 2,350.00",BUY,2350.0,BESTSELLER,"Bestseller, Coats & Jackets, Blazers, Men, Clothing","men-bestseller, men-coats-and-jackets, men-coats-and-jackets-blazers, men, men-clothing",FUA0093056D,Survey Double Layered Leather Blazer,True,inStock,2350.0,,ANTHRACITE GREY,XL
Survey Double Layered Leather Blazer,M061LB_ALLS,AED,"AED 2,350.00",BUY,2350.0,BESTSELLER,"Bestseller, Coats & Jackets, Blazers, Men, Clothing","men-bestseller, men-coats-and-jackets, men-coats-and-jackets-blazers, men, men-clothing",FUA0093057D,Survey Double Layered Leather Blazer,True,lowStock,2350.0,,ANTHRACITE GREY,S
Survey Double Layered Leather Blazer,M061LB_ALLS,AED,"AED 2,350.00",BUY,2350.0,BESTSELLER,"Bestseller, Coats & Jackets, Blazers, Men, Clothing","men-bestseller, men-coats-and-jackets, men-coats-and-jackets-blazers, men, men-clothing",FUA0093449D,Survey Double Layered Leather Blazer,True,inStock,2350.0,,BLACK,XS
Survey Double Layered Leather Blazer,M061LB_ALLS,AED,"AED 2,350.00",BUY,2350.0,BESTSELLER,"Bestseller, Coats & Jackets, Blazers, Men, Clothing","men-bestseller, men-coats-and-jackets, men-coats-and-jackets-blazers, men, men-clothing",FUA0093450D,Survey Double Layered Leather Blazer,True,lowStock,2350.0,,BLACK,S
Survey Double Layered Leather Blazer,M061LB_ALLS,AED,"AED 2,350.00",BUY,2350.0,BESTSELLER,"Bestseller, Coats & Jackets, Blazers, Men, Clothing","men-bestseller, men-coats-and-jackets, men-coats-and-jackets-blazers, men, men-clothing",FUA0093453D,Survey Double Layered Leather Blazer,True,lowStock,2350.0,,BLACK,XL
Survey Double Layered Leather Blazer,M061LB_ALLS,AED,"AED 2,350.00",BUY,2350.0,BESTSELLER,"Bestseller, Coats & Jackets, Blazers, Men, Clothing","men-bestseller, men-coats-and-jackets, men-coats-and-jackets-blazers, men, men-clothing",FUA0093454D,Survey Double Layered Leather Blazer,True,lowStock,2350.0,,BLACK,XXL
Survey Double Layered Leather Blazer,M061LB_ALLS,AED,"AED 2,350.00",BUY,2350.0,BESTSELLER,"Bestseller, Coats & Jackets, Blazers, Men, Clothing","men-bestseller, men-coats-and-jackets, men-coats-and-jackets-blazers, men, men-clothing",FUA0093452D,Survey Double Layered Leather Blazer,True,lowStock,2350.0,,BLACK,L
Sofi Drawstring Leather Bomber Jacket,W126LB_ALLS,AED,"AED 1,980.00",BUY,1980.0,BESTSELLER,"Bestseller, Coats & Jackets, Clothing, Women","women-bestseller, women-coats-and-jackets, women-clothing, women",FUA0085209D,Sofi Drawstring Leather Bomber Jacket,True,inStock,1980.0,,BLACK,UK 8/US 4
Fleur Relaxed Fit Floral Shirt,M058SC_ALLS,AED,AED 650.00,BUY,650.0,BESTSELLER,"Bestseller, Shirts, Men, Casual, Clothing","men-bestseller, men-shirts, men, men-shirts-casual-shirts, men-clothing",FUA0089175D,Fleur Relaxed Fit Floral Shirt,True,lowStock,650.0,,BLACK,XS
