"input_code","reason"
"PROD20004887_L","Request/parse error: [{'message': 'GQL_PCM_API_ERROR', 'path': ['productDetailPage'], 'extensions': {'code': 'PCM_API_ERROR_404', 'args': {'productId': 'prod20004887', 'locale': 'en-us'}, 'mdConsolidated': False, 'statusCode': 404, 'serviceName': 'kiwi-module-pdp'}}]"
"PROD20000995_L","Request/parse error: [{'message': 'GQL_PCM_API_ERROR', 'path': ['productDetailPage'], 'extensions': {'code': 'PCM_API_ERROR_404', 'args': {'productId': 'prod20000995', 'locale': 'en-us'}, 'mdConsolidated': False, 'statusCode': 404, 'serviceName': 'kiwi-module-pdp'}}]"
"PROD20002583_L","Request/parse error: [{'message': 'GQL_PCM_API_ERROR', 'path': ['productDetailPage'], 'extensions': {'code': 'PCM_API_ERROR_404', 'args': {'productId': 'prod20002583', 'locale': 'en-us'}, 'mdConsolidated': False, 'statusCode': 404, 'serviceName': 'kiwi-module-pdp'}}]"
"PROD20004819_L","Request/parse error: [{'message': 'GQL_PCM_API_ERROR', 'path': ['productDetailPage'], 'extensions': {'code': 'PCM_API_ERROR_404', 'args': {'productId': 'prod20004819', 'locale': 'en-us'}, 'mdConsolidated': False, 'statusCode': 404, 'serviceName': 'kiwi-module-pdp'}}]"
"PROD20004331_L","Request/parse error: [{'message': 'GQL_PCM_API_ERROR', 'path': ['productDetailPage'], 'extensions': {'code': 'PCM_API_ERROR_404', 'args': {'productId': 'prod20004331', 'locale': 'en-us'}, 'mdConsolidated': False, 'statusCode': 404, 'serviceName': 'kiwi-module-pdp'}}]"
"PROD20004659_L","Request/parse error: [{'message': 'GQL_PCM_API_ERROR', 'path': ['productDetailPage'], 'extensions': {'code': 'PCM_API_ERROR_404', 'args': {'productId': 'prod20004659', 'locale': 'en-us'}, 'mdConsolidated': False, 'statusCode': 404, 'serviceName': 'kiwi-module-pdp'}}]"
"PROD20003867_L","Request/parse error: [{'message': 'GQL_PCM_API_ERROR', 'path': ['productDetailPage'], 'extensions': {'code': 'PCM_API_ERROR_404', 'args': {'productId': 'prod20003867', 'locale': 'en-us'}, 'mdConsolidated': False, 'statusCode': 404, 'serviceName': 'kiwi-module-pdp'}}]"
"PROD20006003_L","Request/parse error: [{'message': 'GQL_PCM_API_ERROR', 'path': ['productDetailPage'], 'extensions': {'code': 'PCM_API_ERROR_404', 'args': {'productId': 'prod20006003', 'locale': 'en-us'}, 'mdConsolidated': False, 'statusCode': 404, 'serviceName': 'kiwi-module-pdp'}}]"
"PROD11771068_L","Request/parse error: [{'message': 'GQL_PCM_API_ERROR', 'path': ['productDetailPage'], 'extensions': {'code': 'PCM_API_ERROR_403', 'args': {'productId': 'prod11771068', 'locale': 'en-us'}, 'mdConsolidated': False, 'statusCode': 403, 'serviceName': 'kiwi-module-pdp'}}]"
"PROD11440047_L","Request/parse error: [{'message': 'GQL_PCM_PRODUCT_MISSING_SKUS', 'path': ['productDetailPage'], 'extensions': {'args': {'id': 'prod11440047', 'locale': 'en-us'}, 'statusCode': 404, 'code': 'PCM_PRODUCT_MISSING_SKUS', 'serviceName': 'kiwi-module-pdp'}}]"
"PROD11870250_L","Request/parse error: [{'message': 'GQL_PCM_PRODUCT_MISSING_SKUS', 'path': ['productDetailPage'], 'extensions': {'args': {'id': 'prod11870250', 'locale': 'en-us'}, 'statusCode': 404, 'code': 'PCM_PRODUCT_MISSING_SKUS', 'serviceName': 'kiwi-module-pdp'}}]"
"PROD20002351_L","Request/parse error: [{'message': 'GQL_PCM_PRODUCT_MISSING_SKUS', 'path': ['productDetailPage'], 'extensions': {'args': {'id': 'prod20002351', 'locale': 'en-us'}, 'statusCode': 404, 'code': 'PCM_PRODUCT_MISSING_SKUS', 'serviceName': 'kiwi-module-pdp'}}]"
"PROD11870741_L","Request/parse error: [{'message': 'GQL_PCM_API_ERROR', 'path': ['productDetailPage'], 'extensions': {'code': 'PCM_API_ERROR_403', 'args': {'productId': 'prod11870741', 'locale': 'en-us'}, 'mdConsolidated': False, 'statusCode': 403, 'serviceName': 'kiwi-module-pdp'}}]"
"PROD11680318_L","Request/parse error: [{'message': 'GQL_PCM_PRODUCT_MISSING_SKUS', 'path': ['productDetailPage'], 'extensions': {'args': {'id': 'prod11680318', 'locale': 'en-us'}, 'statusCode': 404, 'code': 'PCM_PRODUCT_MISSING_SKUS', 'serviceName': 'kiwi-module-pdp'}}]"
"PROD9490277_L","Request/parse error: [{'message': 'GQL_PCM_PRODUCT_MISSING_SKUS', 'path': ['productDetailPage'], 'extensions': {'args': {'id': 'prod9490277', 'locale': 'en-us'}, 'statusCode': 404, 'code': 'PCM_PRODUCT_MISSING_SKUS', 'serviceName': 'kiwi-module-pdp'}}]"
"PROD11870358_L","Request/parse error: [{'message': 'GQL_PCM_PRODUCT_MISSING_SKUS', 'path': ['productDetailPage'], 'extensions': {'args': {'id': 'prod11870358', 'locale': 'en-us'}, 'statusCode': 404, 'code': 'PCM_PRODUCT_MISSING_SKUS', 'serviceName': 'kiwi-module-pdp'}}]"
"PROD11800331_L","Request/parse error: [{'message': 'GQL_PCM_PRODUCT_MISSING_SKUS', 'path': ['productDetailPage'], 'extensions': {'args': {'id': 'prod11800331', 'locale': 'en-us'}, 'statusCode': 404, 'code': 'PCM_PRODUCT_MISSING_SKUS', 'serviceName': 'kiwi-module-pdp'}}]"
"PROD10641685_L","Request/parse error: [{'message': 'GQL_PCM_PRODUCT_MISSING_SKUS', 'path': ['productDetailPage'], 'extensions': {'args': {'id': 'prod10641685', 'locale': 'en-us'}, 'statusCode': 404, 'code': 'PCM_PRODUCT_MISSING_SKUS', 'serviceName': 'kiwi-module-pdp'}}]"
"PROD20002155_L","Request/parse error: [{'message': 'GQL_PCM_PRODUCT_MISSING_SKUS', 'path': ['productDetailPage'], 'extensions': {'args': {'id': 'prod20002155', 'locale': 'en-us'}, 'statusCode': 404, 'code': 'PCM_PRODUCT_MISSING_SKUS', 'serviceName': 'kiwi-module-pdp'}}]"
